line,egg_collection_date,egg_length,egg_width,egg_volume,line_type
A2,18/02/2022,98.75,18.96,148697.0592,ASG
A2,18/02/2022,88.45,19.39,139297.0967,ASG
A2,18/02/2022,92.58,19.71,150653.4336,ASG
A2,18/02/2022,94.41,19.64,152542.0483,ASG
A2,18/02/2022,89.11,19.88,147518.9502,ASG
A2,18/02/2022,93.9,18.86,139906.3989,ASG
A2,18/02/2022,96.32,19.35,151066.1016,ASG
A2,18/02/2022,94.34,20.29,162685.3984,ASG
A2,18/02/2022,88.23,19.06,134261.2484,ASG
A2,18/02/2022,92.12,19.23,142692.4869,ASG
A2,18/02/2022,97.86,19.03,148446.9904,ASG
A2,18/02/2022,92.63,19.79,151960.9017,ASG
A2,18/02/2022,96.34,19.44,152506.2957,ASG
A2,18/02/2022,92.56,19.01,140112.2764,ASG
A2,18/02/2022,96.59,19.6,155429.3097,ASG
A2,18/02/2022,93.61,20.19,159839.2718,ASG
A2,18/02/2022,96.41,19.17,148407.1818,ASG
A2,18/02/2022,94.2,17.07,114975.8302,ASG
A2,18/02/2022,91.98,19.77,150589.7295,ASG
A2,18/02/2022,92.21,18.25,128644.8393,ASG
A2,18/02/2022,95.97,19.37,150828.4769,ASG
A3,18/02/2022,93.99,17.03,114182.5019,ASG
A3,18/02/2022,98.49,17.33,123901.8732,ASG
A3,18/02/2022,94.94,17.95,128134.6959,ASG
A3,18/02/2022,100.06,18.57,144534.9629,ASG
A3,18/02/2022,99,18.93,148602.1291,ASG
A3,18/02/2022,91.82,16.71,107393.6981,ASG
A3,18/02/2022,94.84,18.28,132749.391,ASG
A3,18/02/2022,93.77,19.01,141943.9083,ASG
A3,18/02/2022,97.54,19.54,155998.5204,ASG
A3,18/02/2022,90.53,16.87,107922.3255,ASG
A3,18/02/2022,95.98,17.02,116463.1323,ASG
A3,18/02/2022,92.36,16.94,111019.5201,ASG
A3,18/02/2022,95.83,18.27,133988.3972,ASG
A3,18/02/2022,100.5,17.62,130697.2589,ASG
A3,18/02/2022,99.96,19.13,153230.3511,ASG
A3,18/02/2022,98.01,17.52,126016.4387,ASG
A3,18/02/2022,100.47,18.3,140937.7036,ASG
A3,18/02/2022,92.67,18.63,134726.641,ASG
A3,18/02/2022,84.69,17.27,105804.8114,ASG
A3,18/02/2022,97.75,19.26,151886.0686,ASG
A3,18/02/2022,93.4,18.9,139752.3418,ASG
A3,18/02/2022,96.29,18.14,132722.4413,ASG
A3,18/02/2022,92.08,19.09,140561.3037,ASG
A3,18/02/2022,103.69,17.23,128942.4859,ASG
A3,18/02/2022,91.31,18.38,129210.5473,ASG
A3,18/02/2022,93.26,16.81,110387.3855,ASG
A3,18/02/2022,101.04,18.86,150544.6491,ASG
A3,18/02/2022,98.26,18.47,140410.3623,ASG
A3,18/02/2022,95.14,16.91,113956.4658,ASG
A3,18/02/2022,95.37,18.76,140593.7646,ASG
S1,18/02/2022,99.02,18.76,145974.5682,Starch
S1,18/02/2022,96.57,19.45,153027.7004,Starch
S1,18/02/2022,97.8,19.55,156574.4834,Starch
S1,18/02/2022,91.37,19.35,143302.6339,Starch
S1,18/02/2022,96.55,20.52,170292.531,Starch
S1,18/02/2022,97.45,19.25,151262.7252,Starch
S1,18/02/2022,101.02,20.63,180092.0034,Starch
S1,18/02/2022,93.88,19.18,144663.4759,Starch
S1,18/02/2022,99.62,21.6,194689.5535,Starch
S1,18/02/2022,95.95,20.05,161570.6017,Starch
S1,18/02/2022,94.9,20.16,161560.7562,Starch
S1,18/02/2022,95.81,19.97,160049.9634,Starch
S1,18/02/2022,98.59,20.03,165685.0696,Starch
S1,18/02/2022,99.29,19.25,154118.7889,Starch
S1,18/02/2022,96.93,19.95,161596.75,Starch
S1,18/02/2022,97.82,20.96,180010.9088,Starch
S1,18/02/2022,98.32,20.91,180068.8309,Starch
S1,18/02/2022,98.85,20.11,167451.6473,Starch
S1,18/02/2022,95.6,21,176597.7195,Starch
S1,18/02/2022,96.27,19.38,151456.2245,Starch
S1,18/02/2022,97.47,20.58,172922.0264,Starch
S1,18/02/2022,95.13,20.28,163886.0573,Starch
S1,18/02/2022,97.26,22.3,202596.809,Starch
S1,18/02/2022,90.82,18.74,133600.8681,Starch
S1,18/02/2022,103.05,19.76,168542.9092,Starch
S1,18/02/2022,100.42,21.03,186031.8786,Starch
S1,18/02/2022,99.7,19.42,157500.6022,Starch
S1,18/02/2022,93.33,20.7,167513.7905,Starch
S1,18/02/2022,96.11,21.11,179404.6326,Starch
S1,18/02/2022,100.08,20.81,181543.2335,Starch
S2,18/02/2022,105.28,21.76,208810.4684,Starch
S2,18/02/2022,100.8,20.99,186026.1588,Starch
S2,18/02/2022,99.39,21.79,197672.2749,Starch
S2,18/02/2022,100.26,20.14,170347.2951,Starch
S2,18/02/2022,101.84,20.09,172173.7242,Starch
S2,18/02/2022,104.05,19.98,173988.9478,Starch
S2,18/02/2022,101.18,19.53,161654.4897,Starch
S2,18/02/2022,96.7,21.08,179993.2822,Starch
S2,18/02/2022,104,19.61,167524.0392,Starch
S2,18/02/2022,99.84,19.9,165614.8725,Starch
S2,18/02/2022,96.65,19.5,153942.9095,Starch
S2,18/02/2022,95.56,20.67,171019.5281,Starch
S2,18/02/2022,106.88,20.44,187045.3161,Starch
S2,18/02/2022,93.7,21.41,179912.5814,Starch
S2,18/02/2022,101.7,19.95,169549.0506,Starch
S2,18/02/2022,108.22,22.09,221201.2469,Starch
S2,18/02/2022,102.84,19.86,169906.176,Starch
S2,18/02/2022,98.78,20.27,170006.3442,Starch
S2,18/02/2022,101.04,19.55,161761.6136,Starch
S2,18/02/2022,101.54,20.36,176311.7742,Starch
S2,18/02/2022,100.19,18.97,151024.5838,Starch
S2,18/02/2022,95.5,20.54,168769.0708,Starch
S2,18/02/2022,101.62,20.78,183805.6624,Starch
S2,18/02/2022,92.82,20.25,159433.738,Starch
S2,18/02/2022,98.56,19.81,162016.1304,Starch
S2,18/02/2022,101.87,20.5,179325.7424,Starch
S2,18/02/2022,99.68,20.27,171555.2986,Starch
S2,18/02/2022,99.92,20.3,172477.7629,Starch
S2,18/02/2022,101.89,20.76,183939.4442,Starch
S2,18/02/2022,101.32,20.91,185563.2012,Starch
S3,18/02/2022,100.1,19.65,161900.3532,Starch
S3,18/02/2022,94.52,21.75,187297.0102,Starch
S3,18/02/2022,99.78,19.88,165182.8173,Starch
S3,18/02/2022,98.09,21,181197.3882,Starch
S3,18/02/2022,101.95,20.72,183339.204,Starch
S3,18/02/2022,104.89,20.25,180165.964,Starch
S3,18/02/2022,102.53,19.8,168372.0297,Starch
S3,18/02/2022,101.15,21.11,188812.5958,Starch
S3,18/02/2022,97.41,20.29,167979.4855,Starch
S3,18/02/2022,97.28,20.13,165120.0156,Starch
S3,18/02/2022,101.45,20.65,181209.421,Starch
S3,18/02/2022,95.1,19.98,159023.0556,Starch
S3,18/02/2022,97.74,20.12,165736.0167,Starch
S3,18/02/2022,97.11,20.37,168785.3006,Starch
S3,18/02/2022,99.17,20.52,174913.623,Starch
S3,18/02/2022,98.66,20.64,176055.3011,Starch
S3,18/02/2022,102.31,20.86,186481.306,Starch
S3,18/02/2022,98.62,22.14,202492.4526,Starch
S3,18/02/2022,97.62,20.6,173524.9202,Starch
S3,18/02/2022,93.89,20.13,159365.9361,Starch
S3,18/02/2022,97.99,20.11,165994.8095,Starch
S3,18/02/2022,102.84,19.96,171621.5228,Starch
S3,18/02/2022,98.42,19.67,159507.3463,Starch
S3,18/02/2022,101.27,21.08,188499.6865,Starch
S3,18/02/2022,98.33,19.67,159361.4851,Starch
S3,18/02/2022,96.95,20.45,169833.3778,Starch
S3,18/02/2022,103.46,20.03,173869.3306,Starch
S3,18/02/2022,102.32,20.81,185606.5512,Starch
S3,18/02/2022,105.06,21.74,207991.2597,Starch
S3,18/02/2022,103.65,21,191468.1342,Starch
